元，较上年增加89.13亿元，增幅为2.47%。,,,,
下表列出于所示日期本集团持有的按发行主体划分的债务工具构成情况。,,,,
,2024年12月31日,,2023年12月31日,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
政府,"8,245,893",79.33,"7,395,390",78.77
政策性银行,"1,016,452",9.78,"899,880",9.59
银行及非银行金融机构,"731,699",7.04,"682,666",7.27
企业,"351,752",3.38,"367,206",3.91
中央银行,"48,080",0.47,"43,182",0.46
