债券,,,,
下表列出于所示日期本集团持有的按币种划分的债务工具构成情况。,,,,
,2024年12月31日,,2023年12月31日,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
人民币,"10,024,811",96.45,"9,028,172",96.16
美元,"222,480",2.14,"228,917",2.44
港币,"54,772",0.53,"49,953",0.53
其他外币,"91,813",0.88,"81,282",0.87
债券,"10,393,876",100.00,"9,388,324",100.00
