6.,,,贷款损失准备余额含核算至以公允价值计量且其变动计入其他综合收益项下的票据贴现的损失准备，贷款余额和不良贷款余额均不含应计利,,,,,
息。,,,,,,,,
,,,,,,,,
,,,,,,,,
（人民币百万元）,第一季度,第二季度,第三季度,第四季度,第一季度,第二季度,第三季度,第四季度
营业收入,"200,928","185,037","183,057","181,129","207,076","193,179","188,185","181,296"
归属于本行股东的净利润,"86,817","77,509","91,450","79,801","88,743","78,601","88,110","77,199"
,,,,,,,,
净利润,"86,888","77,446","91,231","79,758","88,844","78,285","87,879","77,283"
,"209,335","81,470","664,064","(616,846)","370,787","443,828","(337,409)","165,644"
