4,中国建设银行股份有限公司,2024年度报告
,,
,建信信托有限责任公司,
,建信养老金管理有限责任公司,
,建信住房服务有限责任公司,
,建信住房租赁基金（有限合伙）,
,,建信住房租赁私募基金管理有限公司
,建银国际（控股）有限公司,
,建银工程咨询有限责任公司,
,,
其他,,
,,科技金融、绿色金融、普惠金融、养老金融、数字金融
,,服务国家建设能力、防范金融风险能力、参与国际竞争能力
两重,,推进国家重大战略实施和重点领域安全能力建设
两新,,新一轮大规模设备更新、消费品以旧换新
RCEP,区域全面经济伙伴关系协定,
,手机银行和“建行生活”,
,,
,,
,,
,,
,,香港联合交易所有限公司证券上市规则
,,
,,
,,
,,
